Marker_Operation,Memo_Operation,Bookmark_Operation,Marker_Num,Memo_Num,Bookmark_Num,Prev_Next_Operation,Jump_Operation,Error_Num,Used_time,Code_Length,Execute_Times,Code_Copy,Code_Paste,Notebook_Open,memory,cognitive,compensation,metacognitive,affective,social,intrinsic,extrinsic,task_value,control_beliefs,self_efficacy,test_anxiety,rehearsal,elaboration,organization,critical_thinking,metacognitive_self_regulation,time_and_study_environment,effort_regulation,peer_learning,help_seeking,Pass
36,19,2,36,19,0,1868,11,36,570,952,267,37,62,28,17,24,9,25,13,13,9,11,19,18,17,16,8,15,10,14,34,21,14,12,13,1
561,70,35,451,48,17,4877,190,98,3777,2759,1241,225,313,82,19,28,17,28,18,13,15,14,26,16,27,17,17,19,16,17,40,27,14,3,15,0
140,12,0,124,10,0,3415,63,2,123,1678,42,4,7,2,23,37,17,27,16,17,12,16,24,14,24,19,16,23,17,15,47,34,16,10,16,0
12,10,0,12,10,0,4312,44,146,5391,2526,1762,236,347,235,31,50,24,36,23,24,17,16,30,16,29,18,20,24,16,20,46,28,12,6,19,1
115,14,2,111,12,0,3472,37,194,3341,1595,1101,127,303,81,30,52,20,31,19,22,16,18,25,15,38,11,16,23,14,18,47,32,16,13,17,1
253,31,0,241,31,0,3109,76,94,2004,5643,1161,188,270,106,21,47,19,26,18,16,16,11,24,17,31,11,14,24,13,18,39,29,15,10,12,0
42,10,2,24,10,0,4758,43,96,2761,2066,1065,206,271,109,31,45,20,27,18,18,16,9,22,15,23,16,18,26,11,21,38,28,11,4,9,1
181,30,0,151,28,0,5486,41,48,2311,1878,1040,203,231,70,23,40,18,30,20,17,16,16,26,18,31,16,16,28,16,22,41,29,12,11,17,1
53,14,2,53,12,0,4340,248,120,4786,8824,1559,249,451,55,24,36,19,26,19,14,19,16,27,15,35,11,16,26,16,18,48,33,12,10,15,0
359,35,14,261,29,0,4609,54,234,6832,2041,2590,601,754,133,24,48,18,41,25,20,13,19,30,15,30,13,16,25,16,19,37,32,13,8,14,0
372,48,0,300,44,0,4105,46,54,1851,2125,907,157,208,81,30,42,22,36,23,16,18,19,30,20,40,10,20,30,20,25,50,28,12,14,20,0
402,25,2,340,21,0,4665,155,239,7583,8103,2604,481,706,77,28,34,19,28,18,16,16,14,24,16,32,13,16,28,16,19,46,31,18,12,17,0
136,20,5,110,20,1,4040,699,13,447,1582,131,13,28,16,22,29,18,22,13,11,17,16,23,15,33,18,16,20,13,14,39,34,16,9,13,0
71,15,4,67,15,0,2353,0,168,2962,2688,1266,246,308,92,24,33,17,37,19,16,14,17,15,7,14,19,16,21,12,16,40,27,13,9,16,1
186,22,5,150,20,5,4863,8,154,8001,5582,3446,777,951,379,32,29,16,26,17,14,13,19,26,12,34,10,15,28,17,20,47,24,14,15,19,0
601,44,2,527,44,0,3542,141,169,7999,10012,3119,788,942,93,32,52,23,36,23,24,18,19,30,18,40,12,19,30,20,18,49,34,18,12,20,0
286,22,4,264,22,0,4323,6,121,6858,4080,1888,339,368,162,24,37,17,35,21,19,16,16,25,18,33,22,17,23,16,20,50,30,13,7,19,0
98,21,0,90,19,0,1925,0,167,6400,1717,1650,237,248,110,25,26,15,29,17,6,16,12,25,16,31,14,14,22,12,18,35,22,11,7,12,1
149,20,12,121,18,0,2011,3,117,3284,6351,1079,74,57,26,31,47,18,33,18,21,16,18,24,11,31,16,16,25,16,20,44,26,13,10,16,1
469,32,69,419,28,53,4325,142,358,14187,5249,2990,328,384,181,28,48,17,37,17,20,15,16,22,14,28,13,13,19,16,18,41,27,15,10,16,0
145,22,4,97,18,2,3965,3,164,4512,2617,1278,117,189,112,24,26,13,25,17,12,20,20,30,20,34,18,20,30,20,25,50,31,16,9,16,0
423,37,70,377,35,58,6899,106,175,3442,4762,1287,168,205,103,22,37,18,27,19,18,17,16,25,16,20,21,19,23,18,17,45,21,15,6,13,1
292,16,0,264,14,0,4078,194,26,1947,20976,793,162,228,27,22,37,18,22,15,14,15,15,24,16,32,12,14,23,12,18,42,27,16,10,16,0
438,33,2,418,33,0,5460,25,7,193,14660,166,31,50,22,23,40,18,30,17,16,15,15,24,17,28,21,16,22,15,18,43,29,19,11,19,0
142,21,0,142,21,0,4904,10,113,2415,6808,938,142,212,81,28,42,19,31,20,15,16,11,24,17,24,11,17,25,20,19,45,30,14,9,19,0
0,25,0,0,23,0,2224,5,53,3090,3179,577,60,104,16,33,58,26,41,23,20,18,10,30,15,34,8,16,29,14,25,36,27,10,3,18,0
120,42,8,114,34,0,2887,8,382,10600,19366,3623,476,790,287,23,42,22,38,18,16,15,16,30,20,40,8,17,27,15,20,44,26,8,5,20,0
132,23,0,108,21,0,5779,4,167,7771,3827,3240,662,931,375,25,37,16,20,12,11,16,16,24,15,24,14,16,26,17,19,45,29,13,14,15,0
153,22,3,133,18,1,2664,31,56,2882,1740,1226,244,463,44,27,47,26,34,21,22,13,14,23,16,32,5,17,23,16,15,38,24,12,9,14,0
12,10,0,12,10,0,4312,44,146,5391,2526,1762,236,347,235,31,50,24,36,23,24,17,16,30,16,29,18,16,24,16,19,45,28,14,11,14,1
268,24,8,266,22,0,2333,2,21,1040,2499,394,51,115,33,18,32,13,30,19,15,16,13,23,15,24,11,14,22,12,19,36,23,10,9,12,1
145,17,0,145,17,0,2196,23,11,226,2600,388,70,151,43,28,44,21,31,17,17,12,15,22,14,29,15,17,27,16,19,41,26,10,7,17,0
239,55,15,171,15,5,3331,34,209,7976,1601,2685,440,606,363,28,43,23,29,21,16,16,16,24,14,29,12,16,24,16,20,47,27,12,11,16,1
380,41,81,310,37,59,4553,262,102,3550,2204,1390,226,270,215,27,36,17,37,26,16,18,17,28,18,35,7,19,28,20,16,48,27,12,12,19,0
260,25,2,238,25,0,5745,24,134,4200,4067,1459,277,308,80,16,27,13,20,17,9,8,12,19,14,12,18,15,21,12,13,39,29,10,6,11,0
134,21,0,132,21,0,3420,0,31,262,1371,534,151,197,31,26,44,20,37,20,19,18,13,27,16,28,15,16,23,19,20,46,31,13,12,16,1
375,18,0,307,14,0,3815,646,44,1563,1985,754,105,209,83,21,40,19,32,17,21,16,16,24,14,26,18,16,24,16,19,40,28,15,11,12,1
98,14,2,90,12,0,3906,28,80,2409,2425,991,189,279,86,23,39,17,33,19,18,12,19,18,11,29,21,16,23,16,23,43,27,16,11,14,0
320,26,0,236,26,0,7015,35,320,8957,3344,2412,281,555,92,25,29,13,22,16,13,12,14,22,13,23,18,14,18,14,13,27,21,10,7,11,1
68,18,0,54,18,0,3167,1,111,4105,1664,1189,147,282,59,24,44,19,36,18,19,15,14,25,16,31,14,16,24,16,20,42,26,11,13,17,0
114,17,10,84,17,6,6995,161,157,3982,6317,4137,1247,1725,343,20,35,21,20,13,17,11,12,21,14,20,19,16,24,19,19,40,29,14,9,19,1
213,24,1,203,14,1,4070,173,164,4736,28277,1614,249,446,106,20,34,15,25,17,15,11,19,25,8,18,24,15,20,16,19,44,25,13,11,9,1
218,18,6,184,16,0,5329,34,137,3440,2862,1430,408,359,76,25,45,24,34,20,18,14,16,22,15,27,19,14,23,14,21,45,28,12,9,12,1
805,40,29,755,32,13,3145,39,206,9407,2944,2129,229,355,131,27,32,16,20,19,12,17,14,23,16,18,19,11,14,12,11,26,26,12,11,16,1
191,15,2,189,15,0,5160,22,94,3355,3200,1248,217,374,44,23,33,17,26,18,13,19,16,30,19,40,14,16,24,16,19,46,33,16,10,20,0
481,24,19,455,24,13,3446,147,86,3375,1968,1065,170,239,67,24,29,12,23,17,11,19,13,25,14,27,9,16,25,14,17,27,24,8,5,13,0
180,22,0,146,20,0,4687,31,147,3548,10914,1396,173,350,66,27,44,21,29,18,16,14,18,28,16,28,16,16,24,19,17,43,28,16,9,14,0
150,12,0,118,12,0,3024,47,1,146,537,55,7,18,4,27,48,18,29,20,15,18,18,25,20,33,8,20,26,19,22,53,36,17,10,16,1
597,34,23,509,32,3,5995,4,299,7896,18523,2076,199,317,105,26,40,18,33,21,10,19,11,29,15,26,17,19,18,14,17,45,32,14,9,20,1
68,1,6,66,1,0,4411,11,329,15437,7950,4957,785,1392,456,29,47,17,34,17,16,16,15,24,16,32,17,20,29,19,23,45,27,12,9,15,0
699,27,8,479,27,6,6401,243,249,16356,5122,4208,438,660,847,24,41,23,20,15,14,17,14,25,16,33,6,20,30,20,25,43,27,13,12,16,0
933,71,0,765,61,0,5574,120,287,12120,14843,3419,432,891,140,34,53,24,43,27,23,19,18,30,20,34,10,20,30,20,23,47,28,12,14,18,0
277,27,3,237,25,1,6572,15,280,5832,2958,1955,269,356,174,23,39,14,36,23,15,14,15,19,9,19,23,15,20,13,14,44,29,13,13,15,1
0,24,0,0,24,0,1905,18,54,2096,5977,656,91,157,28,27,46,20,32,14,20,17,16,30,19,40,8,19,30,18,20,52,29,16,12,19,0
17,8,0,5,8,0,4334,148,188,7237,4429,2825,529,730,382,21,29,14,27,18,15,16,19,26,17,39,16,14,22,10,20,44,30,12,10,15,0
48,16,0,46,16,0,2787,3,53,815,4886,355,15,91,52,29,42,21,34,19,19,16,16,24,16,31,20,13,22,18,19,42,28,12,11,16,1
310,37,6,232,29,0,4451,34,136,6417,4455,2815,601,834,263,25,42,24,34,19,22,20,17,29,16,38,14,16,27,19,24,57,35,16,11,19,0
524,83,115,450,83,3,3509,201,147,9176,11929,3671,797,1047,164,30,48,24,36,20,23,17,15,29,11,25,16,17,26,17,20,47,33,18,11,14,0
40,12,0,34,12,0,5191,157,187,6436,2801,2709,569,673,272,20,48,18,32,20,21,12,20,29,11,39,17,14,23,14,24,42,27,8,13,16,0
274,10,4,238,10,0,6480,16,238,7574,3440,4137,1026,1319,476,31,52,24,36,18,17,16,15,24,13,32,10,16,24,16,20,44,26,12,12,16,0
248,23,0,216,19,0,6354,15,173,7393,2665,1712,137,157,87,24,38,21,33,21,20,13,13,18,12,24,15,12,19,15,15,36,23,11,8,11,0
226,31,4,144,31,0,2812,9,162,6106,3765,1591,222,325,58,18,33,18,34,21,18,17,13,25,20,35,5,10,18,8,18,39,23,10,7,16,0
267,20,24,139,14,0,3301,11,60,2284,1484,879,134,191,72,20,22,13,25,13,9,11,11,17,12,24,8,11,15,10,13,26,21,9,6,8,0
132,13,4,122,13,0,2664,92,19,267,8627,303,57,114,33,23,26,18,27,16,21,15,12,23,12,23,20,14,23,14,20,44,27,14,10,13,1
363,33,2,355,27,0,4265,22,226,4766,2415,1664,318,389,131,29,35,15,33,17,18,14,16,23,18,22,24,13,15,11,13,35,26,12,7,16,0
391,24,9,387,24,3,4262,15,102,1582,2637,678,89,127,34,22,39,15,31,18,17,12,12,18,14,8,20,12,18,12,10,24,16,8,6,8,0
422,21,10,422,19,0,2850,56,58,483,2527,210,6,22,37,28,49,23,43,21,18,17,12,28,18,27,17,18,19,16,22,46,26,14,12,15,1
0,8,6,0,8,0,2771,7,0,0,424,18,1,1,5,22,37,19,24,12,15,13,12,24,11,27,16,16,23,12,19,40,24,14,10,13,0
57,4,0,35,4,0,2734,11,42,2020,2683,1067,218,349,48,25,31,8,16,13,10,15,19,29,10,17,20,14,23,14,15,43,19,11,11,17,0
559,55,75,369,41,11,8353,198,101,2854,6934,1392,311,322,140,26,37,14,30,21,12,18,13,26,16,27,16,16,23,14,18,41,28,10,11,15,0
12,10,0,12,10,0,4312,44,146,5391,2526,1762,236,347,235,31,50,24,36,23,24,17,16,30,16,29,18,16,24,16,19,45,28,14,11,14,1
135,13,1,103,13,1,4599,108,124,2058,2476,905,124,245,86,22,31,23,28,17,16,12,12,18,12,28,20,15,22,13,17,33,25,10,11,14,0
128,4,2,124,4,0,2936,6,90,4341,6185,1759,363,514,179,18,34,18,23,13,13,15,12,22,16,25,15,11,22,12,18,41,26,15,9,15,0
28,38,6,24,34,0,2758,10,32,1488,2414,429,54,76,33,28,51,23,32,23,21,15,6,25,14,27,8,16,24,12,22,43,27,12,15,18,0
301,25,0,257,25,0,4297,348,217,7573,29203,2454,433,560,147,23,46,20,30,16,17,17,15,24,14,30,14,19,25,14,18,46,35,15,12,16,0
548,39,36,484,39,16,4838,29,105,3278,3315,2285,469,811,184,17,27,9,30,23,6,20,16,28,20,36,17,20,27,18,19,45,29,12,3,8,0
394,36,25,306,34,17,2119,89,127,3904,5567,1855,339,560,101,24,40,18,26,19,18,15,13,24,15,29,16,18,26,15,19,46,33,16,12,15,0
486,39,2,348,31,0,2328,18,10,800,3037,245,27,45,18,32,63,26,44,21,26,19,17,30,20,38,9,20,30,19,25,52,30,12,10,18,0
23,31,2,23,29,0,1645,5,21,1394,2491,678,158,207,53,35,65,28,45,30,30,19,19,27,20,40,25,17,26,17,24,49,33,17,13,18,0
80,3,3,76,3,1,3681,29,147,4111,6544,1888,366,504,240,20,34,16,25,16,14,16,15,24,16,32,12,19,30,19,22,50,29,14,12,17,0
65,18,0,55,18,0,4485,47,87,2978,3547,1318,235,357,89,25,39,15,32,17,16,13,15,18,14,20,20,12,14,12,14,33,24,13,8,16,1
463,40,4,335,34,0,7615,1,143,3071,6060,1719,520,398,159,25,46,23,35,21,17,16,12,18,12,24,15,18,24,16,20,41,28,12,12,14,1
896,30,20,808,26,0,3236,29,175,5081,3296,1505,193,318,120,18,31,16,22,15,15,14,13,22,13,19,14,12,18,16,16,35,25,13,6,12,1
173,17,0,165,17,0,4019,115,54,1415,17641,788,145,247,45,22,40,20,29,16,22,13,10,24,14,25,15,14,21,15,11,43,29,15,11,12,0
96,16,60,70,14,50,3804,76,11,125,7259,130,13,49,15,21,35,19,22,11,10,17,15,23,12,26,16,17,22,13,14,37,28,15,9,14,0
465,30,0,435,30,0,4861,10,58,1214,2753,784,194,172,78,24,44,17,28,21,17,17,20,25,15,32,23,16,23,15,15,39,29,15,12,18,0
614,78,9,486,64,1,4615,120,211,3245,2265,1300,208,317,192,32,65,24,40,18,30,16,19,28,16,33,15,16,24,16,25,53,30,14,6,15,0
634,39,2,452,27,0,5228,22,95,2146,2146,805,137,116,67,21,42,19,28,15,20,20,10,23,14,34,7,16,24,16,20,46,26,12,12,14,1
291,56,0,227,50,0,3635,62,192,7798,4615,3316,691,819,487,17,27,17,23,13,19,17,20,28,18,28,18,20,22,18,15,47,33,12,15,18,0
342,19,17,276,19,1,4537,19,298,4481,1634,2788,993,390,180,18,29,20,28,17,20,12,13,22,13,16,25,17,20,12,17,39,26,18,6,14,1
416,32,0,344,24,0,5877,244,135,7399,7542,3805,960,1144,428,23,35,17,24,16,15,16,15,24,16,31,12,13,21,16,17,40,25,12,10,16,0
160,23,21,120,19,15,4995,363,235,12182,8947,2962,340,487,244,25,32,20,18,16,11,17,12,27,14,23,12,16,27,15,19,43,29,14,9,10,1
0,6,0,0,6,0,4081,169,52,2082,12309,752,154,162,36,31,48,24,34,20,23,14,13,27,16,28,17,16,24,16,20,46,29,14,11,15,1
42,27,8,28,25,0,3723,13,171,6202,3274,1671,207,306,85,33,61,21,39,24,22,20,19,30,20,40,11,20,30,20,25,56,32,17,15,20,0
240,49,7,218,37,1,1721,10,22,1222,1418,363,35,84,43,26,65,28,42,23,30,12,10,18,12,40,7,10,21,12,21,28,18,6,3,10,0
484,28,0,394,18,0,7669,458,77,2316,5148,1284,223,396,93,24,38,17,27,16,16,16,14,24,15,28,11,18,24,16,18,42,36,16,11,15,0
190,25,2,148,21,0,2342,35,79,2700,4370,1025,197,306,39,24,42,20,38,18,20,17,14,24,15,34,12,14,23,15,18,36,24,9,12,14,0
493,67,117,385,65,13,4969,169,104,2834,2005,1702,379,435,236,24,44,18,29,17,16,14,16,23,15,24,18,15,23,15,16,38,25,12,10,15,0
45,24,6,45,24,0,4259,1,127,2609,1931,1183,200,357,110,29,46,22,33,23,22,15,14,23,14,26,17,16,22,16,20,42,25,11,13,16,0
429,43,3,403,33,3,5644,1,126,7770,7207,2714,525,737,114,25,47,20,43,26,19,17,15,30,20,30,20,16,25,20,21,42,26,6,11,17,0
488,37,10,372,29,0,4265,30,76,2196,1467,780,110,150,69,28,31,15,33,21,14,16,14,27,12,29,25,16,22,18,14,40,28,10,11,14,0
180,22,2,168,22,0,3640,299,269,7996,4885,2399,434,496,173,19,34,22,25,16,17,16,16,24,16,27,17,16,24,16,20,47,29,14,11,14,0
279,22,6,247,22,0,3399,39,94,3740,3396,1196,191,280,88,25,39,17,22,14,13,16,14,24,17,32,11,17,21,17,17,35,22,10,3,10,0
545,16,12,431,14,10,2697,84,89,3892,4044,1409,316,398,59,26,38,20,23,14,14,18,17,28,17,37,10,17,26,16,15,40,28,15,10,10,0
485,28,15,435,28,9,3447,15,29,1073,1588,696,175,254,49,27,52,20,38,22,11,16,12,24,19,35,13,17,20,15,17,36,25,11,12,13,0
298,31,0,280,21,0,3724,36,63,2133,2443,534,31,83,46,24,35,22,27,18,12,12,15,19,13,35,7,11,20,7,19,32,26,10,3,8,0
197,36,2,197,34,0,3085,148,171,4235,3589,2060,507,579,142,17,34,18,26,14,11,14,11,24,16,18,20,13,23,16,18,41,27,13,10,13,0
183,24,4,129,22,0,3277,766,45,1892,1499,571,95,117,27,21,30,17,26,16,17,12,17,25,16,33,18,14,24,15,20,42,28,15,11,19,0
381,51,12,327,39,0,3314,49,60,6544,1709,1036,63,140,16,26,39,19,29,22,11,20,18,26,18,37,10,19,24,18,25,50,29,5,11,17,0
142,17,4,40,17,0,4480,113,124,7052,25650,2345,402,726,72,11,33,13,21,14,9,17,13,24,16,29,17,16,22,14,13,39,26,13,9,11,0
393,25,15,319,25,9,5053,243,110,6909,11453,2012,221,304,152,24,46,23,34,20,23,17,14,23,15,28,18,16,21,14,15,43,32,17,11,16,0
13,17,0,7,13,0,2523,251,180,7141,4697,1773,284,348,44,23,35,20,22,18,17,16,14,27,13,32,16,14,24,10,19,41,26,15,11,16,0
174,23,0,162,21,0,6172,164,158,4244,3805,1422,211,340,134,22,30,17,24,18,13,13,15,18,14,24,15,16,24,16,16,46,31,15,11,13,0
555,34,0,459,30,0,6011,418,121,2662,4797,1429,296,427,99,20,37,18,25,17,17,14,15,23,14,24,20,16,23,19,18,43,33,15,12,15,0
57,17,4,55,11,0,1795,9,69,3908,4027,1449,284,282,206,28,38,19,22,16,15,18,14,24,18,39,11,16,23,15,20,42,24,11,9,14,0
26,25,0,26,25,0,1618,116,40,997,1459,527,94,120,70,29,53,26,40,24,12,20,18,30,20,40,19,19,30,16,25,46,30,13,4,18,0
12,10,0,12,10,0,4312,44,146,5391,2526,1762,236,347,235,31,50,24,36,23,24,17,16,30,16,29,18,20,24,16,20,46,28,12,6,19,1
122,19,4,112,17,0,4202,69,201,6451,3670,2542,458,686,217,24,45,20,30,20,19,14,16,24,12,27,15,15,24,16,20,51,33,18,10,17,0
365,38,22,329,38,10,4188,43,192,5457,4019,1434,223,278,81,20,36,14,31,16,8,18,20,26,18,31,20,15,23,15,20,49,31,18,12,18,1
249,44,16,207,38,6,4970,54,169,4470,6008,1655,319,360,124,23,36,12,27,14,15,12,12,24,10,15,10,13,18,14,10,38,24,11,9,12,0
609,70,111,503,54,83,11805,802,381,7736,3141,2543,268,593,233,29,37,15,29,20,14,16,12,27,16,25,17,20,24,17,13,46,31,10,11,18,0
585,92,14,273,84,0,7431,232,584,19309,9463,5273,546,856,523,17,25,11,24,18,8,17,20,24,18,33,22,20,26,20,17,53,30,15,3,20,0
627,282,6,533,260,6,9400,132,77,2861,4365,2472,469,567,634,24,39,16,25,15,20,18,18,27,20,33,17,20,30,20,25,53,31,12,12,18,0
448,43,3,388,43,1,6496,7,248,7673,4629,3045,503,662,483,22,31,13,30,16,10,16,11,28,18,20,16,15,18,17,15,34,22,10,6,13,0
225,31,0,189,25,0,4878,70,183,7659,3845,3568,713,927,417,21,36,16,26,17,16,15,18,30,20,32,20,20,24,17,17,45,26,14,13,16,0
237,20,2,237,20,0,2664,68,69,1875,861,862,148,158,131,22,35,18,33,22,20,16,15,28,18,33,8,14,26,18,19,40,28,13,10,16,0
19,22,2,19,20,0,2849,11,0,12,332,28,3,5,5,20,33,18,24,16,17,14,14,21,14,28,18,12,18,12,17,40,21,10,12,12,1
310,22,2,310,22,0,3973,7,313,12462,3851,2660,228,325,108,21,33,16,29,20,12,17,13,23,11,22,14,15,24,12,14,37,24,13,3,16,1
354,39,2,212,35,0,7636,13,71,3578,2373,1708,354,471,156,31,49,23,42,25,20,19,19,26,16,31,19,19,25,18,22,37,28,12,13,18,0
81,24,5,47,18,1,3430,62,41,1347,5632,718,171,203,40,21,41,18,24,18,18,20,20,29,20,40,9,20,25,18,24,46,39,14,11,17,0
9,19,4,3,15,0,4301,10,142,5500,3617,1670,271,349,148,28,48,12,24,12,16,12,13,21,16,26,17,14,24,15,17,37,27,12,11,20,1
352,14,2,352,12,0,4506,55,88,2891,5547,1773,439,564,190,21,33,16,22,18,19,15,18,29,20,38,6,19,21,15,17,46,28,11,15,17,0
146,23,0,128,23,0,3143,1,88,4715,4030,1711,334,444,53,32,43,19,30,18,17,16,16,24,16,28,15,16,24,16,20,44,29,15,10,16,0
429,50,24,283,44,0,4126,55,109,3416,1360,1296,338,248,104,30,47,26,36,21,24,17,16,30,17,29,15,10,17,12,18,53,37,15,14,19,0
101,10,2,83,10,0,4831,6,113,3399,3912,1435,205,377,84,32,52,22,36,18,22,16,16,29,15,29,14,16,22,16,16,47,33,16,10,15,1
319,27,0,277,17,0,5551,205,11,1195,5106,598,73,207,47,22,35,17,25,17,16,20,17,29,14,29,16,15,25,13,16,43,27,13,8,18,0
44,14,2,40,14,0,2580,0,35,2433,2662,1103,231,319,145,15,37,20,22,11,13,19,18,30,17,40,8,19,27,17,22,44,28,10,11,15,0
19,22,2,19,20,0,2849,11,0,12,332,28,3,5,5,20,33,18,24,16,17,14,14,21,14,28,18,12,18,12,17,40,21,10,12,12,1
21,4,2,21,2,0,2641,61,82,2726,2564,860,181,172,40,36,57,24,42,25,24,20,18,28,18,37,19,19,28,18,23,54,37,14,15,16,0
218,42,8,168,30,0,3726,88,62,1890,2279,739,107,231,54,28,46,18,36,15,15,16,12,21,14,28,11,15,22,13,15,36,23,12,9,11,0
94,17,4,88,17,4,4393,46,128,4331,3990,1626,318,384,98,32,50,24,36,23,23,15,16,24,16,32,17,15,24,15,19,44,29,14,10,15,0
